Headers,,,,,
Test Date,12/14/2022,12/14/2022,
Test Time,3:39:07 PM,3:39:07 PM,
Test ID,Drop 4,Drop 4,
Test Description,7 ft| 50lb| 2in|7 ft| 50lb| 2in,
Sample Rate (Hz),10000,10000,
Hardware AA Filter (-3dB),2900,2900,
Data Channel Number,1,2,
ISO Channel Code,????????????????,????????????????,
Channel Description,ACC,Pressure,
Channel Location,NONE,NONE,
Sensor S/N,AC_64B-2000_A282153,PT_XTEL-190S-25D,
Software Filter (SAE Class),AdHoc(0),AdHoc(0),
Software Filter (-3dB),0,0,
Engineering Unit,g ,psi ,
User Comment,,,
Number of Pre-Zero Data Pts,5001,5001,
Number of Post-Zero Data Pts,25001,25001,
Data Zero (CNTS),-38,0,
Scale Factor (EU/CNT),-0.10130542099808,-0.00095384767677509,
Scale Factor (mV/CNT),-0.007659618742764,-0.00190769915934652,
Data Starts Here,,,,,
Time,Chan 0:AC_64B-2000_A282153,Chan 1:PT_XTEL-190S-25D,
-0.469600,1.620887,0.423508
-0.469500,1.620887,0.426370
-0.469400,1.519581,0.427324
-0.469300,1.418276,0.423508
-0.469200,1.418276,0.424462
-0.469100,1.215665,0.425416
-0.469000,1.418276,0.427324
-0.468900,1.823498,0.423508
-0.468800,1.620887,0.418739
-0.468700,1.620887,0.426370
-0.468600,1.620887,0.430185
-0.468500,1.519581,0.426370
-0.468400,1.823498,0.426370
-0.468300,1.519581,0.427324
-0.468200,1.620887,0.427324
-0.468100,1.924803,0.428278
-0.468000,1.519581,0.431139
-0.467900,1.620887,0.427324
-0.467800,1.924803,0.426370
-0.467700,1.418276,0.429231
-0.467600,1.620887,0.424462
-0.467500,1.722192,0.425416
-0.467400,1.316970,0.428278
-0.467300,1.620887,0.423508
-0.467200,1.620887,0.427324
-0.467100,2.127414,0.428278
-0.467000,1.316970,0.425416
-0.466900,1.418276,0.424462
-0.466800,1.620887,0.422555
-0.466700,1.316970,0.422555
-0.466600,1.418276,0.428278
-0.466500,1.418276,0.424462
-0.466400,1.215665,0.424462
-0.466300,1.316970,0.426370
-0.466200,1.620887,0.423508
-0.466100,1.519581,0.424462
-0.466000,1.215665,0.424462
-0.465900,1.924803,0.426370
-0.465800,1.418276,0.427324
-0.465700,1.722192,0.424462
-0.465600,1.418276,0.425416
-0.465500,1.924803,0.427324
-0.465400,1.519581,0.424462
-0.465300,1.418276,0.425416
-0.465200,1.519581,0.426370
-0.465100,1.620887,0.424462
-0.465000,1.823498,0.428278
-0.464900,1.924803,0.427324
-0.464800,1.519581,0.428278
-0.464700,1.722192,0.427324
-0.464600,1.519581,0.422555
-0.464500,1.823498,0.426370
-0.464400,1.823498,0.429231
-0.464300,1.722192,0.423508
-0.464200,1.418276,0.422555
-0.464100,1.418276,0.424462
-0.464000,1.519581,0.422555
-0.463900,1.722192,0.421601
-0.463800,1.823498,0.428278
-0.463700,1.722192,0.430185
-0.463600,1.620887,0.424462
-0.463500,1.924803,0.421601
-0.463400,1.620887,0.424462
-0.463300,1.620887,0.427324
-0.463200,1.519581,0.423508
-0.463100,1.823498,0.425416
-0.463000,1.722192,0.421601
-0.462900,1.418276,0.421601
-0.462800,1.722192,0.427324
-0.462700,2.127414,0.422555
-0.462600,1.722192,0.422555
-0.462500,1.316970,0.423508
-0.462400,1.823498,0.425416
-0.462300,1.823498,0.426370
-0.462200,1.823498,0.423508
-0.462100,1.519581,0.423508
-0.462000,2.026108,0.421601
-0.461900,1.215665,0.423508
-0.461800,1.722192,0.424462
-0.461700,2.228719,0.423508
-0.461600,1.722192,0.427324
-0.461500,1.620887,0.426370
-0.461400,1.316970,0.424462
-0.461300,1.519581,0.427324
-0.461200,1.823498,0.424462
-0.461100,1.418276,0.421601
-0.461000,1.316970,0.421601
-0.460900,1.418276,0.424462
-0.460800,1.519581,0.423508
-0.460700,1.316970,0.427324
-0.460600,1.215665,0.426370
-0.460500,1.418276,0.428278
-0.460400,1.418276,0.426370
-0.460300,1.620887,0.422555
-0.460200,1.823498,0.430185
-0.460100,1.620887,0.426370
-0.460000,1.519581,0.424462
-0.459900,1.418276,0.425416
-0.459800,1.620887,0.426370
-0.459700,1.722192,0.428278
-0.459600,1.924803,0.428278
-0.459500,1.722192,0.429231
-0.459400,1.620887,0.427324
-0.459300,2.228719,0.425416
-0.459200,1.823498,0.427324
-0.459100,1.519581,0.421601
-0.459000,1.519581,0.424462
-0.458900,1.316970,0.425416
-0.458800,1.924803,0.427324
-0.458700,1.823498,0.425416
-0.458600,1.316970,0.420647
-0.458500,2.026108,0.422555
-0.458400,1.519581,0.425416
-0.458300,1.215665,0.426370
-0.458200,1.519581,0.426370
-0.458100,1.418276,0.425416
-0.458000,1.519581,0.425416
-0.457900,1.519581,0.424462
-0.457800,1.620887,0.424462
-0.457700,1.418276,0.430185
-0.457600,1.722192,0.428278
-0.457500,1.418276,0.423508
-0.457400,1.114360,0.425416
-0.457300,1.620887,0.422555
-0.457200,1.722192,0.423508
-0.457100,1.114360,0.426370
-0.457000,1.722192,0.428278
-0.456900,1.519581,0.426370
-0.456800,1.215665,0.422555
-0.456700,1.418276,0.425416
-0.456600,1.519581,0.424462
-0.456500,1.722192,0.423508
-0.456400,1.620887,0.426370
-0.456300,1.519581,0.427324
-0.456200,1.316970,0.429231
-0.456100,1.620887,0.428278
-0.456000,1.418276,0.429231
-0.455900,1.519581,0.430185
-0.455800,1.418276,0.429231
-0.455700,1.823498,0.425416
-0.455600,1.215665,0.428278
-0.455500,1.519581,0.425416
-0.455400,1.924803,0.427324
-0.455300,1.519581,0.426370
-0.455200,1.519581,0.430185
-0.455100,1.519581,0.420647
-0.455000,1.924803,0.426370
-0.454900,1.418276,0.428278
-0.454800,1.519581,0.429231
-0.454700,1.418276,0.427324
-0.454600,1.722192,0.427324
-0.454500,1.519581,0.427324
-0.454400,1.519581,0.432093
-0.454300,1.620887,0.427324
-0.454200,1.620887,0.423508
-0.454100,1.924803,0.425416
-0.454000,1.620887,0.427324
-0.453900,1.519581,0.426370
-0.453800,1.316970,0.422555
-0.453700,1.823498,0.429231
-0.453600,1.519581,0.425416
-0.453500,1.823498,0.425416
-0.453400,1.418276,0.424462
-0.453300,2.127414,0.429231
-0.453200,1.418276,0.426370
-0.453100,1.519581,0.427324
-0.453000,2.026108,0.429231
-0.452900,2.127414,0.427324
-0.452800,1.924803,0.425416
-0.452700,1.620887,0.423508
-0.452600,1.519581,0.426370
-0.452500,1.620887,0.428278
-0.452400,1.519581,0.426370
-0.452300,1.519581,0.421601
-0.452200,1.823498,0.425416
-0.452100,1.620887,0.431139
-0.452000,1.316970,0.426370
-0.451900,1.620887,0.427324
-0.451800,1.519581,0.427324
-0.451700,1.519581,0.421601
-0.451600,1.620887,0.427324
-0.451500,1.418276,0.425416
-0.451400,1.823498,0.425416
-0.451300,1.418276,0.424462
-0.451200,1.722192,0.430185
-0.451100,1.519581,0.424462
-0.451000,1.722192,0.425416
-0.450900,1.316970,0.426370
-0.450800,1.316970,0.425416
-0.450700,1.620887,0.422555
-0.450600,1.620887,0.429231
-0.450500,1.722192,0.427324
-0.450400,1.823498,0.427324
-0.450300,1.823498,0.425416
-0.450200,1.620887,0.427324
-0.450100,1.519581,0.424462
-0.450000,1.924803,0.426370
-0.449900,1.620887,0.426370
-0.449800,1.924803,0.425416
-0.449700,1.215665,0.424462
-0.449600,1.519581,0.426370
-0.449500,1.519581,0.425416
-0.449400,1.620887,0.426370
-0.449300,1.620887,0.428278
-0.449200,1.519581,0.423508
-0.449100,1.722192,0.423508
-0.449000,1.722192,0.424462
-0.448900,1.519581,0.425416
-0.448800,1.418276,0.426370
-0.448700,1.722192,0.426370
-0.448600,1.823498,0.426370
-0.448500,1.620887,0.425416
-0.448400,1.519581,0.424462
-0.448300,1.620887,0.425416
-0.448200,2.026108,0.427324
-0.448100,1.722192,0.426370
-0.448000,1.519581,0.427324
-0.447900,1.519581,0.425416
-0.447800,1.620887,0.423508
-0.447700,1.418276,0.425416
-0.447600,1.519581,0.424462
-0.447500,2.330025,0.426370
-0.447400,1.722192,0.424462
-0.447300,1.215665,0.425416
-0.447200,1.215665,0.423508
-0.447100,1.620887,0.423508
-0.447000,1.823498,0.422555
-0.446900,1.823498,0.423508
-0.446800,2.127414,0.426370
-0.446700,1.823498,0.423508
-0.446600,1.722192,0.425416
-0.446500,1.620887,0.426370
-0.446400,1.519581,0.426370
-0.446300,2.026108,0.429231
-0.446200,1.519581,0.425416
-0.446100,1.418276,0.424462
-0.446000,1.316970,0.425416
-0.445900,1.823498,0.425416
-0.445800,1.620887,0.423508
-0.445700,1.519581,0.422555
-0.445600,1.924803,0.426370
-0.445500,1.823498,0.429231
-0.445400,1.823498,0.425416
-0.445300,1.620887,0.423508
-0.445200,1.519581,0.426370
-0.445100,1.924803,0.428278
-0.445000,1.519581,0.426370
-0.444900,2.228719,0.427324
-0.444800,1.620887,0.427324
-0.444700,1.823498,0.427324
-0.444600,1.316970,0.422555
-0.444500,1.823498,0.423508
-0.444400,1.519581,0.422555
